run,what_is_different,t_start,t_end,outcome,min_lapse,min_chi,max_abs_K,L2_Ham,L2_Mom,sep_start,sep_min,t_sep_min,sep_end,t_common_ah,ah_r_max_incode,group
s1uni256_lapse5_sg01,"Stage 1.4: unigrid N = 256 (dx 0.25), lapse 5, sigma 0.1 -- NaN at t = 1.2 (h11, level 0): refining uniformly makes it 20x earlier",0.00,1.23,NaN at t = 1.23,2.584e-01,4.999e-05,0.022,1.593e-03,8.989e-05,0.25,0.25,0.00,0.81,-,-,01_single_throat/grid
s15_lapse5_sg01_fg,"Stage 1.5: lapse 5, sigma 0.1 on the fixed-grid tagger, max_level 2 (dx 0.125) -- the half-resolution rung of the instability ladder; turns over at t = 20.5 and dies within 3 units of it, so it shows no growth rate",0.00,24.17,NaN at t = 24.17,3.251e-01,3.206e-06,0.520,2.730e-03,3.989e-03,0.12,0.12,0.00,0.19,-,-,01_single_throat/grid
s15_lapse5_sg00_fg,"Stage 1.5: sigma 0.0 on the fixed-grid tagger, max_level 2 -- the no-dissipation twin of the half-resolution rung",0.00,23.53,NaN at t = 23.53,1.000e-10,7.122e-06,31.947,1.071e+00,1.593e-01,0.12,0.12,0.00,0.12,-,-,01_single_throat/grid
s15_lapse6_sg00_fg,"Stage 1.5: the collar with sigma 0.0 on the fixed-grid tagger, max_level 2 -- contracts monotonically from t = 0 (-0.31 % by t = 5, -7.3 % by t = 26): the collar excites the unstable mode from the start",0.00,26.23,NaN at t = 26.23,1.000e-10,8.510e-06,18.684,2.332e-01,8.066e-02,0.12,0.12,0.00,11.92,-,-,01_single_throat/grid
s16ml3_lapse5_sg01_fg,"Stage 1.6: lapse 5, sigma 0.1, fixed-grid tagger, max_level 3 (dx 0.0625) -- THE SAME EVOLUTION as single_hold_t100 to t = 39.5 (identical R at every output, bit-identical norms: for one centred throat tagging types 1 and 2 build the same grids); do not cite the two as agreeing runs",0.00,40.00,finished clean at t = 40.00,1.340e-01,9.897e-06,0.015,2.531e-03,3.367e-05,0.06,0.06,0.00,0.06,-,-,01_single_throat/grid
single_hold_t100,"ONE drainhole throat, exact static data, at rest, production settings (max_level 3, sigma 0.1), t = 100 -- the decisive test of whether the 44-56 unit wall is the Gonzalez-Guzman-Sarbach radial mode of the constituent rather than a binary effect: the exact solution is a fixed point, so every deviation is error or instability with no physics mixed in",0.00,100.00,finished clean at t = 100.00 -- but areal_radius.dat is readable only to t = 65 (scan clipped); the chi floor at t = 61.3 is shown not to matter by its twin single_hold_chireg_t100; see single_throat/INSTABILITY.md and BRANCHES.md,1.608e-02,1.083e-03,0.589,1.194e-01,6.202e-02,0.06,0.06,0.00,0.06,-,-,01_single_throat/hold
single_hold_ml2_t100,single_hold_t100 with max_level 2 (dx 0.125 at the origin instead of 0.0625): h11 NaN on level 2 at t = 24.17 while the throat radius still sits at +0.12 % of exact -- the origin death is a resolution artefact and the throat is innocent,0.00,24.17,NaN at t = 24.17,3.251e-01,3.206e-06,0.520,2.730e-03,3.989e-03,0.12,0.12,0.00,0.19,24.17,1.62,01_single_throat/hold
single_hold_ml2_chireg_t100,"single_hold_ml2_t100 with the chi regularisation on (chi_rhs_floor 1e-8, min_chi 1e-20): K NaN on level 2 at t = 24.13 against 24.17, origin chi through 1e-8 at t = 8.95 in both, throat radius within 2e-4 of the reference to the end -- the grid killed ml2, not the clamp",0.00,24.12,NaN at t = 24.12,3.254e-01,4.960e-06,0.515,2.722e-03,3.914e-03,0.12,0.12,0.00,0.14,-,-,01_single_throat/hold
single_hold_chireg_t100,"single_hold_t100 with the chi regularisation on (chi_rhs_floor 1e-8, min_chi 1e-20): equal to the reference to 10 digits until the origin reaches the floor at t = 61.3, within 0.3 % in the norms during the 1.4-unit floor event, equal to 4 digits at t = 100 -- the floor is not load-bearing; collapse branch, marginally trapped surface R 3.23 (t = 61) -> 2.37 (t = 100)",0.00,100.00,finished clean at t = 100.00 -- same clipping of areal_radius.dat past t = 65 as its reference; the kept plotfiles are read in single_throat/BRANCHES.md instead,1.608e-02,1.083e-03,0.589,1.194e-01,6.202e-02,0.06,0.06,0.00,0.09,-,-,01_single_throat/hold
single_hold_ml4_t100,"single_hold_t100 with max_level 4 (dx 0.03125 at the origin): clean to t = 100, origin chi never below 2.4e-8; the SAME unstable mode at the same rate to 9 % (tau 5.26 vs 5.88) with the OPPOSITE sign -- the throat inflates, R_min 3.89 -> 10.0, no horizon, an anti-trapped shell growing around it",0.00,100.00,"finished clean at t = 100.00 -- on the INFLATION branch: throat radius 3.89 -> 10.0 by t = 100, no horizon; a fate at one resolution is not the physics (BRANCHES.md)",7.313e-02,3.746e-04,0.025,1.388e-02,2.424e-03,0.03,0.03,0.00,0.74,72.90,3.00,01_single_throat/hold
single_hold_ml4_lowfloor_t100,single_hold_ml4_t100 with min_chi 5e-10 instead of 1e-8: byte-identical to it on every stream -- the floor never engaged at level 4,0.00,100.00,finished clean at t = 100.00 -- byte-identical to single_hold_ml4_t100 (inflation branch),7.313e-02,3.746e-04,0.025,1.388e-02,2.424e-03,0.03,0.03,0.00,0.74,72.90,3.00,01_single_throat/hold
single_hold_dt01_t070,"single_hold_t100 with dt_multiplier 0.1 instead of 0.02 (Courant 0.1), to t = 70: 4.8x faster and bit-identical to t ~ 10, then a slow blow-up at the compactified origin, lapse floored at t = 16.0, h11 NaN at t = 16.07",0.00,16.05,NaN at t = 16.05,1.041e-01,5.197e-06,7.713,3.574e-01,1.265e-01,0.06,0.06,0.00,0.06,16.00,1.44,01_single_throat/hold
single_hold_dt005_t070,"single_hold_t100 with dt_multiplier 0.05 (Courant 0.05), to t = 70: reaches stop_time with no NaN but is NOT the same solution -- identical to the 0.02 reference to t ~ 30, then max|K| 30x by t = 35, L2_Ham 35x by t = 40 (reference flat), lapse floored at t = 61.1, throat 4 % smaller at t = 69",0.00,70.03,"finished clean at t = 70.03 -- but NOT the dt = 0.02 solution past t ~ 33: max|K| 30x and L2_Ham 35x the reference by t = 40, lapse floored at t = 61.1",1.000e-10,5.335e-06,32.343,4.757e-01,2.199e-01,0.06,0.06,0.00,0.06,49.80,6.00,01_single_throat/hold
single_eps_m1e1_t100,"SEED ARM -0.1 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_eps_m1e1_t100 -- single_hold_t100 with a declared 10 % push IN on the throat (wormhole_seed_amplitude_A = -0.1); its twin single_eps_p1e1_t100 pushes the other way, and the 1 % pair single_eps_m1e2/p1e2_t100 is the quiet rung. Level 3, same grid as every arm: does the sign of the push pick the branch, and how does the onset move with the size?",0.00,15.17,NaN at t = 15.17,2.645e-01,3.133e-06,0.034,2.875e-03,2.166e-03,0.06,0.06,0.00,0.06,-,-,01_single_throat/seed
single_eps_p1e1_t100,"SEED ARM 0.1 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_eps_p1e1_t100 -- single_hold_t100 with a declared 10 % push OUT on the throat (wormhole_seed_amplitude_A = 0.1); its twin single_eps_m1e1_t100 pushes the other way, and the 1 % pair single_eps_m1e2/p1e2_t100 is the quiet rung. Level 3, same grid as every arm: does the sign of the push pick the branch, and how does the onset move with the size?",0.00,14.06,NaN at t = 14.06,2.458e-01,1.000e-08,0.070,3.207e-03,6.197e-04,0.06,0.06,0.00,0.14,0.00,2.31,01_single_throat/seed
single_eps_p1e3_t100,"SEED ARM +0.001 (GPU_PLAN.md queue 2, launched 2026-09-10 on the user's word): single_hold_t100 with a declared +0.1 % push OUT on the throat (wormhole_seed_amplitude_A = 0.001); its twin single_eps_m1e3_t100 pushes IN. Same grid (level 3), same everything as the +-0.01 pair, one tenth the amplitude: is the branch point a property of the kick or of the throat? Answer: the pair crosses itself at t = 13.04 against t = 13.01 for +-0.01, so a tenfold change in the kick moves the branch by 0.03 -- the crossing belongs to the throat's own transient.",0.00,40.07,"ran to NaN, not stopped by hand; 95 GB of scratch (40 plotfiles, no checkpoints) left un-pruned",2.648e-01,7.879e-07,0.491,1.306e-03,8.979e-04,0.06,0.06,0.00,0.06,-,-,01_single_throat/seed
s20_boost_p02,"Stage 2.0 shakedown: one throat with a Bowen-York boost P = 0.2 along z and the moving-box tagger driven by the throat tracker -- crossed 3.3 grid units, completed t = 40 with zero lost rows and no NaN; the shakedown the whole two-throat programme is built on (frames in the x-z plane, frames_xz/)",0.00,40.00,finished clean at t = 40.00,1.316e-01,1.499e-04,0.060,1.198e-03,1.995e-04,0.06,0.06,0.00,3.31,-,-,02_moving_throat
ctrl_rest_a15,"repulsion a-point a = 1.5, released from rest at d = 12, identical to the a = 1 / a = 2 controls but for the throat radius: clean to t = 15, separated 0.283 by t = 11 (1.9x the a = 1 arm, against 2.25 predicted)",0.00,15.01,finished clean at t = 15.01,1.222e-01,1.017e-05,0.006,6.586e-03,4.086e-05,11.94,11.94,0.00,12.81,-,-,03_two_throats
ctrl_rest_a3,"repulsion a-point a = 3, same recipe: clean to t = 15, separated 0.615 by t = 11 -- only 4.2x the a = 1 arm against 9x predicted, so the a^2 magnitude law overshoots badly at wide throats",0.00,15.01,finished clean at t = 15.01,3.268e-01,1.316e-06,0.006,2.544e-03,5.225e-05,11.94,11.94,0.00,13.56,-,-,03_two_throats
ctrl_rest_d14,"separation ladder rung d = 14, released from rest with a = 2 and m = 1 fixed so ONLY the gap differs from the d = 12 control: clean to t = 15, separated 0.3699 by t = 11.5",0.00,15.01,finished clean at t = 15.01,1.988e-01,4.469e-06,0.005,4.046e-03,3.670e-05,13.94,13.94,0.00,14.81,-,-,03_two_throats
ctrl_rest_d16,"separation ladder rung d = 16, same recipe: clean to t = 15, separated 0.2980 by t = 11.5",0.00,15.01,finished clean at t = 15.01,2.002e-01,4.575e-06,0.005,4.460e-03,2.949e-05,15.94,15.94,0.00,16.69,-,-,03_two_throats
ctrl_rest_d18,"separation ladder rung d = 18, same recipe: clean to t = 15, separated 0.2438 by t = 11.5 -- the blind test of the offset law fitted on d = 12/14/16, which predicted 0.243 against pure 1/d^2's 0.209",0.00,15.01,finished clean at t = 15.01,2.016e-01,4.518e-06,0.005,4.534e-03,2.409e-05,17.94,17.94,0.00,18.56,-,-,03_two_throats
orbit_d12_p012,two like-oriented throats at d = 12 with the tangential push P = +-0.12 -- they SEPARATE: +2.02 by t = 20 and still accelerating apart,0.00,20.46,"stopped by hand at t = 20.46, the pair still separating",1.877e-01,7.612e-06,0.008,3.597e-03,8.077e-05,11.94,11.94,0.00,14.37,-,-,03_two_throats
ctrl_rest_d12,"the same pair released from rest (no push) -- separates anyway, +0.0127 outward at first, +0.47 by t = 11.5: the push was not the cause",0.00,11.80,still running,2.001e-01,3.743e-06,0.003,4.319e-03,3.284e-05,11.94,11.94,0.00,12.56,-,-,03_two_throats
ctrl_rest_a1,"rest release at d = 12 with the throat width halved (a = 1) -- separates 3.0x weaker (+0.0042): the repulsion tracks the throat width, not the mass (4.0x predicted; the gap is the coordinate under-read)",0.00,11.95,still running,5.084e-02,1.795e-05,0.006,6.956e-03,1.808e-05,11.94,11.94,0.00,12.31,-,-,03_two_throats
ctrl_flip_d12,"rest release at d = 12 with throat B's scalar field reversed (wormhole_phi_sign_B = -1) -- falls together, -0.0196 inward, -0.56 by t = 10.5; infall/escape = 1.511 +- 0.033 against the predicted 1.500 (15 samples, t = 3.5-10.5): the field orientation sets the sign of the force, and this is the only gravity-driven route to a merger",0.00,10.79,still running,2.015e-01,3.649e-06,0.008,4.226e-03,6.542e-05,11.94,11.31,10.47,11.31,-,-,03_two_throats
merge_headon_flip_d12,head-on: no orbital momentum,0.00,44.00,NaN at t = 44.00,1.527e-03,3.059e-06,0.536,2.182e-03,4.425e-03,11.94,0.44,39.85,0.63,29.05,3.62,04_binary_headon
merge_headon_flip_d8_v1_t100,"V1 scout (Phase 3): two exact drainhole throats head-on from rest at d = 8, one scalar sign flipped, level 3 with the chi regularisation of the twin (chi_rhs_floor 1e-8, min_chi 1e-20), NaN autopsy armed, no checkpoints, five-field frames and the horizon scan on -- from NaN to a black hole? contact expected t ~ 17, the lone throat's own decay from t ~ 35",0.00,26.91,"NaN at t = 26.91 (h11, level 3, one-step overflow 0.9 from the midpoint, 16 cells from any grid edge): contact t ~ 20, common MOTS from t = 22 growing to t = 24 then shrinking (R 5.71 -> 4.72 by t = 26), chi at the midpoint on the 1e-20 floor from t ~ 24.5, K there doubling every 0.3 units from t ~ 25.3 -- a black hole first, the wall five units later",1.988e-02,7.015e-07,0.598,2.343e-03,2.987e-03,7.94,0.56,26.71,0.69,21.35,3.62,04_binary_headon
merge_headon_flip_d8_v1c_latefreeze_t100,"V1c late-freeze arm (Phase 3, queue 1c): the V1 scout re-run to t = 100 with the smooth interior fill armed AS LATE AS IT GOES -- t = 26.5, the last moment the scout was still healthy (K = 0.47 finite) and 0.41 units before its NaN at 26.91 -- so the whole merger is captured and only its terminal blowup is given up; r_full 1.2 / r_start 1.8, both inside the t = 26 trapped surface at r = 1.98 and outside the failure site at r = 0.89; in-code Weyl4 extraction at R = 10/14/18 with the python consumer psi4 at the same radii as the cross-check; Weyl4 frames over a 40-wide window; rolling checkpoint every 1.0 unit, newest only -- does freezing the interior of a black hole that has already formed carry the merger past the wall?",0.00,100.00,"finished clean at t = 100.00 FINISHED at t = 100 (04:47-11:23, 15.2 u/h), no NaN, every stream clean. The (2,0) wave swings three times (period ~33, x0.6 per half-swing at R = 10) and is outgoing in every window to t = 100 -- no wall echo. Constraints creep up under the fill (Ham 3.3e-3 at t = 30-40 -> 5.8e-3 at 90-100, doubling every ~80 units). Consumer psi4 on the in-code Weyl4 stream at median ratio 1.00. The frozen core holds lapse 1.97e-2 / chi 3.8e-6 from 26.5 to 100. Figure headon_freeze_psi4_20_R10_14_18_t100.png.",1.970e-02,3.799e-06,1.289,6.036e-03,5.771e-03,7.94,0.69,26.30,0.69,21.35,3.62,04_binary_headon
merge_headon_flip_d6_m05_t100,"V1-m05 -- LOW-MASS HEAD-ON, d = 6 (Phase 3, GPU_PLAN.md queue 1d, 2026-09-09).",0.00,13.99,"NaN at t = 13.99 halving the mass did NOT avoid the horizon: a common trapped surface on the live level-1 scan from t = 12.32 to 13.37 (theta_common min -0.084 at t = 12.94, then open again), lapse 0.44 -> 0.036 over t = 7.5-13, mouths merged in the tracker at t = 11.07, NaN at t = 14.00 in cells ~1.0 from the box centre with the lapse on its 1e-10 floor -- the scout's anatomy 12.9 units earlier; constraints flat at 3.4e-3 to the last step; offline level-3 scan CONFIRMS a common MOTS at t = 12 (areal R 3.83, M_MS 2.16) and t = 13 (areal R 3.91, M_MS 2.05, outermost) -- the mass inside is twice the sum of the two mass parameters, and the throat areal radius is only 18% smaller than at m = 1, so mass cannot put the pair under the hoop; the areal dev column of this run is against the m = 1 reference 3.8895 and is trend-only",3.934e-02,3.362e-06,0.243,2.875e-03,5.323e-03,5.94,0.44,13.89,0.56,12.35,2.69,04_binary_headon
merge_headon_flip_d8_v1_lvl5_t100_r02200,"V1-lvl5 -- HEAD-ON AT max_level 5, RESTARTED FROM t = 22 (Phase 3, GPU_PLAN.md queue 1e, 2026-09-09). -- restarted from BinaryWormholeChk02200 of the V1c late-freeze run",22.01,100.00,"finished clean at t = 100.00 Finished t = 100 (2026-09-10 01:12, 18.6 h, 4.2 units/h, no NaN): passed the wall at t = 27.05 on resolution alone with the constraints falling, clean black hole at t = 43 (MOTS R 4.9, M_MS 2.5, no throat). Final Hamiltonian 1.395e-3, momentum 1.304e-3 -- equal to the level-3 down-step to 0.05 % / 1.4 %, and 4.3x BETTER than the frozen-core V1c arm (6.06e-3 / 5.78e-3). Wave equal to the down-step and the fill twin to 0.05-0.33 % of peak over t = 45-100.",1.164e-03,2.026e-05,0.136,1.364e-03,1.298e-03,1.59,0.02,38.71,0.02,22.01,3.16,04_binary_headon
merge_headon_flip_d8_v1c_fillnarrow_t100_r02200,"V1c-fillnarrow -- THE FILL-RADIUS TWIN, RESTARTED FROM t = 22 (Phase 3, GPU_PLAN.md queue 1f, 2026-09-09). -- restarted from BinaryWormholeChk02200 of the V1c late-freeze run",22.01,100.00,"finished clean at t = 100.00 FINISHED at t = 100 (06:39-11:17, 16.8 u/h), no NaN. The seam test: r.psi4 agrees with V1c to 3e-4 of peak until the fill's imprint arrives, then 1 % (t = 50-60) to 4-5 % (60-100) at R = 10, 3 -> 12 % at R = 14; at R = 18 both runs grow a grid-scale wobble (period ~1.5) from t ~ 80 that differs by up to 40 % of peak -- the late R = 18 signal is noise, the slow swing agrees. Momentum norm 8.1e-3 vs V1c's 5.7e-3 at t = 90-100: the narrower fill stays worse. SEAM VERDICT REVISED 13:05: that drift is NOT the fill -- this twin, the no-fill level-5 arm and the no-fill level-3 down-step agree with each other to 0.01-0.02 % of peak, and each differs from V1c by the same amount, so the drift is V1c's (the only arm never restarted; regrid phase the likely cause). Untested control: a restart from t = 22 with V1c's own fill 1.2/1.8.",1.970e-02,3.799e-06,1.200,5.977e-03,8.049e-03,1.81,0.69,26.31,0.69,22.01,3.62,04_binary_headon
merge_headon_flip_d8_v1_lvl5chk_t100_r02200,"V1-lvl5chk -- THE LEVEL-5 ARM'S CHECKPOINTED TWIN, RESTARTED FROM t = 22 (Phase 3, GPU_PLAN.md queue 1h, 2026-09-09). -- restarted from BinaryWormholeChk02200 (kept in _keep_v1c: _keep_v1c = the V1c late-freeze run, _keep_lvl5 = the level-5 checkpointed twin)",22.01,40.04,stopped by hand at t = 40.05 (12:50) once the t = 40 checkpoint was kept; card 1 freed,1.000e-10,2.152e-07,0.643,6.960e-04,1.117e-03,1.59,0.02,38.71,0.02,22.01,3.16,04_binary_headon
merge_headon_flip_d8_v1_lvl3down_t100_r03500,"V1-lvl3down -- BACK TO max_level 3 FROM A LEVEL-5 CHECKPOINT (Phase 3, GPU_PLAN.md queue 1i, 2026-09-09). -- restarted from BinaryWormholeChk03500 (kept in _keep_lvl5: _keep_v1c = the V1c late-freeze run, _keep_lvl5 = the level-5 checkpointed twin)",35.01,100.00,"finished clean at t = 100.00 Finished t = 100 (2026-09-09 15:36, 3.8 h, 16.5 units/h, no NaN): tracks the level-5 arm it came from to 0.05 / 0.19 / 0.25 % of peak in the (2,0) wave at R = 10 / 14 / 18 through t = 98.4 and to 2 % in the constraints (Hamiltonian 1.21e-3 vs 1.22e-3 at t = 97.7); the coarse core stayed calmer than the fine one. The cheap production route: level 5 through the wall, level 3 after.",4.814e-03,3.300e-04,0.134,1.364e-03,1.279e-03,0.06,0.06,35.01,0.06,35.16,3.50,04_binary_headon
place_d8_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 8, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.937e-01,3.195e-07,0.000,2.883e-03,0.000e+00,7.94,7.94,0.00,7.94,-,-,04_binary_headon/placement
place_d75_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 7.5, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.921e-01,3.142e-07,0.000,2.864e-03,0.000e+00,7.44,7.44,0.00,7.44,-,-,04_binary_headon/placement
place_d7_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 7, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.903e-01,3.083e-07,0.000,2.845e-03,0.000e+00,6.94,6.94,0.00,6.94,-,-,04_binary_headon/placement
place_d65_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 6.5, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.882e-01,3.016e-07,0.000,2.821e-03,0.000e+00,6.44,6.44,0.00,6.44,-,-,04_binary_headon/placement
place_d6_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 6, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.859e-01,2.939e-07,0.000,2.799e-03,0.000e+00,5.94,5.94,0.00,5.94,-,-,04_binary_headon/placement
place_d10_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 10, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,1.986e-01,3.360e-07,0.000,2.944e-03,0.000e+00,9.94,9.94,0.00,9.94,-,-,04_binary_headon/placement
place_d12_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 12, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.019e-01,3.475e-07,0.000,2.990e-03,0.000e+00,11.94,11.94,0.00,11.94,-,-,04_binary_headon/placement
place_d14_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 14, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.043e-01,3.559e-07,0.000,3.027e-03,0.000e+00,13.94,13.94,0.00,13.94,-,-,04_binary_headon/placement
place_d16_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 16, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.061e-01,3.624e-07,0.000,3.057e-03,0.000e+00,15.94,15.94,0.00,15.94,-,-,04_binary_headon/placement
place_d18_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 18, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.076e-01,3.675e-07,0.000,3.083e-03,0.000e+00,17.94,17.94,0.00,17.94,-,-,04_binary_headon/placement
place_d20_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 20, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.087e-01,3.716e-07,0.000,3.107e-03,0.000e+00,19.94,19.94,0.00,19.94,-,-,04_binary_headon/placement
place_d24_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 24, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.105e-01,3.779e-07,0.000,3.150e-03,0.000e+00,23.94,23.94,0.00,23.94,-,-,04_binary_headon/placement
place_d28_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 28, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.117e-01,3.825e-07,0.000,3.195e-03,0.000e+00,27.94,27.94,0.00,27.94,-,-,04_binary_headon/placement
place_d32_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 32, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.127e-01,3.859e-07,0.000,3.251e-03,0.000e+00,31.94,31.94,0.00,31.94,-,-,04_binary_headon/placement
place_d36_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 36, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.134e-01,3.886e-07,0.000,3.327e-03,0.000e+00,35.94,35.94,0.00,35.94,-,-,04_binary_headon/placement
